repo_name,readme_length,github_wiki_length,readme_completeness,docstring_coverage,documentation_percentage,documentation_up_to_date,documentation_readability,code_examples_ratio
claudeguard,2964,0,0.3333333333333333,0.8852459016393442,0.1228017883755588,0.55,28.412947026437767,0.0
clkhash,2166,0,0.1333333333333333,0.3323529411764706,0.2202651171236608,0.0686274509803921,15.157047790416213,0.0
codehouse_cyber_quiz,5980,0,0.4,0.15625,0.2262895174708818,0.0,21.49703431952663,0.0
cryptography,2249,0,0.1333333333333333,0.0862453531598513,0.0413697671459473,0.8115264797507789,14.599391258564795,0.0
commonregex-improved,3908,0,0.2,0.0396039603960396,0.03862660944206,0.4677419354838709,19.143968374446555,0.0
comp128-python,1674,0,0.1333333333333333,0.391304347826087,0.0507796881247501,0.4545454545454545,17.18591760299626,0.0
comply-chain,21006,0,0.5333333333333333,0.8307692307692308,0.2038149986934936,0.064516129032258,25.43248189799028,0.0
confy-addons,4758,0,0.1333333333333333,0.3478260869565217,0.253763440860215,0.2272727272727272,19.28056928630936,0.0
cli,9599,0,0.2666666666666666,0.9130434782608696,0.4323076923076923,0.0,20.2919300547814,0.0
conjur-api-python,13148,0,0.2,0.4288793103448275,0.2073467581323301,0.1417322834645669,16.695746676163342,0.0
ContentHashPy,6290,0,0.1333333333333333,0.5303030303030303,0.2084063047285464,0.1071428571428571,15.88172443037259,0.0
Corrupter,3226,0,0.0666666666666666,0.75,0.1,0.0,21.038012552301257,0.0
cowrie,5359,184,0.3333333333333333,0.3315688161693936,0.1482941534537233,0.0148305084745762,18.62718991776497,0.0
cpggen,13699,0,0.1333333333333333,0.5192307692307693,0.0855572998430141,0.0,17.8551607347876,0.0
CredoPy,16866,0,0.4666666666666667,0.0,0.036468330134357,0.0,22.852630456588773,0.0
crl-checker,1519,0,0.1333333333333333,0.0,0.0,2.0,27.01523391812866,0.0
cross-crypto-py,4059,0,0.0666666666666666,0.5102040816326531,0.1182868796736913,0.125,29.012636363636364,0.0
falconpy,19083,6752265,0.4666666666666667,0.79979035639413,0.3984444701731923,0.4078383343539498,19.14770647067156,0.0
foundry-fn-python,17354,0,0.3333333333333333,0.5422535211267606,0.1291727140783744,0.25,19.651011094265844,0.0
crypto-licensing,15890,0,0.1333333333333333,0.4143518518518518,0.2833039770093631,0.0601092896174863,28.300561628781303,0.0
cryptography,2249,0,0.1333333333333333,0.0862453531598513,0.0413697671459473,0.8115264797507789,14.599391258564795,0.0
cryptography-suite,36686,0,0.6,0.398355754857997,0.0927926220706209,0.4356435643564356,15.15077073512553,0.0
cryptopix,7800,0,0.4,0.9863013698630136,0.2784772182254196,0.2542372881355932,25.132650293255136,0.0
cryptopix-clwe,6309,0,0.3333333333333333,0.0,0.0121951219512195,0.0,36.6746022929752,0.0
cryptopyutils,3868,0,0.2666666666666666,0.9716312056737588,0.4087167070217917,0.0179640718562874,17.38049605291231,0.0
